"","region","value"
"3","AL","Romney"
"4","AK","Romney"
"5","AZ","Romney"
"6","AR","Romney"
"7","CA","Obama"
"8","CO","Obama"
"9","CT","Obama"
"10","DE","Obama"
"11","DC","Obama"
"12","FL","Obama"
"13","GA","Romney"
"14","HI","Obama"
"15","ID","Romney"
"16","IL","Obama"
"17","IN","Romney"
"18","IA","Obama"
"19","KS","Romney"
"20","KY","Romney"
"21","LA","Romney"
"22","ME","Obama"
"23","MD","Obama"
"24","MA","Obama"
"25","MI","Obama"
"26","MN","Obama"
"27","MS","Romney"
"28","MO","Romney"
"29","MT","Romney"
"30","NE","Romney"
"31","NV","Obama"
"32","NH","Obama"
"33","NJ","Obama"
"34","NM","Obama"
"35","NY","Obama"
"36","NC","Romney"
"37","ND","Romney"
"38","OH","Obama"
"39","OK","Romney"
"40","OR","Obama"
"41","PA","Obama"
"42","RI","Obama"
"43","SC","Romney"
"44","SD","Romney"
"45","TN","Romney"
"46","TX","Romney"
"47","UT","Romney"
"48","VT","Obama"
"49","VA","Obama"
"50","WA","Obama"
"51","WV","Romney"
"52","WI","Obama"
"53","WY","Romney"
