"","City","Rank","Population","Bars","Restaurants","Museums","Libraries","Pro.Sports.Teams","Park.acres.per.1000.residents","Colleges","Percent.with.Graduate.Degree","Median.household.income","Percent.unemployed","lon","lat"
"1","Los Angeles",50,3811518,393,8305,106,108,5,6,30,6.7,56558,11.1,-118.2436849,34.0522342
"2","Anchorage",49,297018,63,682,12,14,0,1753,2,7.5,85554,6.4,-149.9002778,61.2180556
"3","Omaha",48,416855,206,908,12,15,1,21,7,7.1,64026,4.6,-95.9979883,41.2523634
"4","St. Louis",47,304219,143,795,32,23,3,10,6,7.8,44360,9.8,-90.1994042,38.6270025
"5","Cleveland",46,396441,204,866,23,51,3,7,8,4.5,35685,7.9,-81.6943605,41.49932
"6","Chesapeake",45,223454,10,451,1,8,0,252,11,6.8,80695,6.3,-76.2874927,36.7682088
"7","Phoenix",44,1418687,179,2384,22,44,5,28,11,6.2,60366,7.3,-112.0740373,33.4483771
"8","Scottsdale",43,214770,64,680,5,7,1,72,2,10.8,99130,7.3,-111.9260519,33.4941704
"9","Reno",42,225561,83,596,10,14,1,11,3,7.1,64507,11.7,-119.8138027,39.5296329
"10","Dallas ",41,1199739,249,2808,26,43,2,23,10,5.9,44838,7.9,-96.8004511,32.7801399
"11","Virginia Beach",40,438243,24,1144,10,18,0,68,3,7.3,76637,5.7,-75.977985,36.8529263
"12","Charlotte",39,745596,121,1685,16,26,3,20,8,8.6,65622,9.9,-80.8431267,35.2270869
"13","Tulsa",38,395176,109,956,15,21,1,19,6,6.2,53059,5.5,-95.992775,36.1539816
"14","Indianapolis",37,831943,195,1679,21,35,4,14,11,6.5,56862,8.9,-86.158068,39.768403
"15","Colorado Springs",36,421350,69,901,16,10,1,30,9,9,70437,9.9,-104.8213634,38.8338816
"16","Tampa ",35,340509,91,1114,18,19,4,10,6,7.5,55039,8.8,-82.4571776,27.950575
"17","Lincoln",35,259068,74,523,22,18,0,25,3,7.3,67093,3.7,-96.675278,40.809722
"18","San Jose",33,956368,68,1578,12,31,4,17,4,9.8,92539,8.7,-121.8949555,37.3393857
"19","Rochester",32,213178,78,502,14,17,3,7,4,7.8,37111,8.4,-77.6109219,43.16103
"20","Oakland",31,401036,67,894,14,27,3,13,7,11.2,59097,9.5,-122.2711137,37.8043637
"21","San Antonio",30,1365256,345,2914,31,36,3,17,7,5.5,54444,7.4,-98.4936282,29.4241219
"22","Baltimore",29,612701,243,1590,45,36,2,8,11,8.5,50492,11.1,-76.6121893,39.2903848
"23","Chicago",28,2679998,807,6438,76,99,8,4,42,9.3,56121,9.8,-87.6297982,41.8781136
"24","Arlington",27,208143,12,575,8,12,0,8,5,27.2,132580,3.7,-97.1080656,32.735687
"25","Milwaukee",26,593545,390,947,20,30,2,16,12,5.4,44113,9.4,-87.9064736,43.0389025
"26","Lexington",25,299520,49,658,17,14,1,21,3,11,69697,6.5,-84.5037164,38.0405837
"27","Philadelphia",24,1522648,400,3821,91,100,5,7,18,6.4,48330,10.9,-75.163789,39.952335
"28","Oklahoma City",23,588053,102,1251,29,13,2,39,6,6,58370,5,-97.5164276,35.4675602
"29","Houston",22,2131940,549,5549,58,63,6,22,17,6.6,48889,7.6,-95.3693896,29.7601927
"30","Cincinatti",21,292050,105,600,18,35,2,21,8,8.9,49048,7.2,-84.5120196,39.1031182
"31","Columbus ",20,796520,249,1656,13,27,2,15,8,7.8,54763,6.5,-82.9987942,39.9611755
"32","Honolulu",19,399124,105,1296,31,38,0,7,10,8.9,78233,6.4,-157.8583333,21.3069444
"33","Raleigh",18,405462,93,1007,15,17,1,31,5,11.4,76255,7.8,-78.6381787,35.7795897
"34","Madison",17,231999,86,595,12,33,0,22,2,15.6,78187,5.4,-89.4012302,43.0730517
"35","Atlanta",16,410606,146,1566,37,37,5,7,12,12.7,59345,10.2,-84.3879824,33.7489954
"36","Kansas City",15,458064,113,921,28,19,3,36,15,7.3,59980,6.9,-94.5785667,39.0997265
"37","New Orleans",14,349773,284,986,34,20,2,84,10,8.5,48789,10.6,-90.0715323,29.9510658
"38","Nashvile",13,603394,138,1493,30,35,3,18,13,8.3,59270,7.3,-86.783333,36.166667
"39","Minneapolis",12,388229,97,969,21,25,4,13,8,12.5,64095,5.7,-93.26667,44.983334
"40","Pittsburgh",11,308090,143,992,23,36,3,10,10,12.7,51907,7,-79.9958864,40.4406248
"41","St. Paul",10,288263,51,515,19,26,3,14,9,10.9,60987,6.3,-93.0899578,44.9537029
"42","San Diego ",9,1319558,189,3126,53,52,2,36,16,10.9,79269,9.2,-117.1610838,32.715738
"43","Austin",8,797215,212,2135,25,35,0,37,9,11,65886,6.3,-97.7430608,30.267153
"44","New York",7,8110206,1220,22320,356,341,8,5,103,9.6,58608,11,-74.0059413,40.7127837
"45","Denver",6,597466,207,1741,33,39,6,10,13,10.9,59155,8.9,-104.9847179,39.737567
"46","Portland",5,598205,313,2084,20,23,2,25,16,11.8,65554,7.9,-122.6762071,45.5234515
"47","Boston",4,615462,136,2064,51,54,3,8,22,13.8,62180,6.6,-71.0597732,42.3584308
"48","Washington",3,607731,134,2066,108,88,5,12,17,19.6,72110,9.1,-77.0368707,38.9071923
"49","Seattle",2,624070,219,2307,29,42,4,9,8,16.8,90303,7.2,-122.3320708,47.6062095
"50","San Francisco",1,808854,394,2430,70,52,2,7,17,16,90640,7.8,-122.4194155,37.7749295
